[2025-09-20T15:19:10.810Z] Starting DevFlow Enforcement Daemon...
[2025-09-20T15:19:10.812Z] PID file written: /Users/fulvioventura/devflow/devflow-enforcement-daemon.pid
[2025-09-20T15:19:10.813Z] DevFlow Enforcement Daemon started successfully
[2025-09-20T15:19:10.813Z] PID: 65454
[2025-09-20T15:19:10.813Z] Health check port: 8787
[2025-09-20T15:19:10.813Z] Enforcement rules: MDR-001, MDR-002, MDR-003 loaded
[2025-09-20T15:19:10.813Z] Health check server running on port 8787
[2025-09-20T15:19:10.813Z] Health check endpoint: http://localhost:8787/health
[2025-09-20T15:19:20.815Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:19:20.815Z] Enforcement cycle completed - system compliant
[2025-09-20T15:19:30.815Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:19:30.815Z] Enforcement cycle completed - system compliant
[2025-09-20T15:19:40.814Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:19:40.815Z] Enforcement cycle completed - system compliant
[2025-09-20T15:19:50.815Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:19:50.815Z] Enforcement cycle completed - system compliant
[2025-09-20T15:20:00.816Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:20:00.816Z] Enforcement cycle completed - system compliant
[2025-09-20T15:20:10.816Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:20:10.817Z] Enforcement cycle completed - system compliant
[2025-09-20T15:20:20.817Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:20:20.817Z] Enforcement cycle completed - system compliant
[2025-09-20T15:20:30.818Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:20:30.818Z] Enforcement cycle completed - system compliant
[2025-09-20T15:20:40.819Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:20:40.819Z] Enforcement cycle completed - system compliant
[2025-09-20T15:20:50.820Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:20:50.821Z] Enforcement cycle completed - system compliant
[2025-09-20T15:21:00.822Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:21:00.822Z] Enforcement cycle completed - system compliant
[2025-09-20T15:21:10.823Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:21:10.823Z] Enforcement cycle completed - system compliant
[2025-09-20T15:21:20.824Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:21:20.824Z] Enforcement cycle completed - system compliant
[2025-09-20T15:21:30.825Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:21:30.826Z] Enforcement cycle completed - system compliant
[2025-09-20T15:21:40.826Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:21:40.826Z] Enforcement cycle completed - system compliant
[2025-09-20T15:21:50.827Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:21:50.828Z] Enforcement cycle completed - system compliant
[2025-09-20T15:22:00.828Z] Enforcement cycle: MDR-001, MDR-002, MDR-003 active
[2025-09-20T15:22:00.828Z] Enforcement cycle completed - system compliant
